Group,Keyword,Location
"Deck or Porch Remodel or Addition","Deck or Porch Remodel or Addition Portland","Portland"
"Deck or Porch Repair","Deck or Porch Repair Portland","Portland"
"Demolition Services","Demolition Services Portland","Portland"
"Dishwasher Installation","Dishwasher Installation Portland","Portland"
"Door Installation","Door Installation Portland","Portland"
"Door Repair","Door Repair Portland","Portland"
"Drywall Installation and Hanging","Drywall Installation and Hanging Portland","Portland"
"Drywall Repair and Texturing","Drywall Repair and Texturing Portland","Portland"
"Duct and Vent Cleaning","Duct and Vent Cleaning Portland","Portland"
"Duct and Vent Installation or Removal","Duct and Vent Installation or Removal Portland","Portland"
"Duct and Vent Repair","Duct and Vent Repair Portland","Portland"
"Dumpster Rental","Dumpster Rental Portland","Portland"
"Electrical and Wiring Repair","Electrical and Wiring Repair Portland","Portland"
"Emergency Plumbing","Emergency Plumbing Portland","Portland"
"Engraving","Engraving Portland","Portland"
"Epoxy Floor Coating","Epoxy Floor Coating Portland","Portland"
"Excavation Services","Excavation Services Portland","Portland"
"Exterior Painting","Exterior Painting Portland","Portland"
"Fan Installation","Fan Installation Portland","Portland"
"Faux Finishing or Painting","Faux Finishing or Painting Portland","Portland"
"Fence Painting","Fence Painting Portland","Portland"
"Fence and Gate Installation","Fence and Gate Installation Portland","Portland"
"Fence and Gate Repairs","Fence and Gate Repairs Portland","Portland"
"Finish Carpentry","Finish Carpentry Portland","Portland"
"Fireplace and Chimney Cleaning or Repair","Fireplace and Chimney Cleaning or Repair Portland","Portland"
"Fireplace and Chimney Installation","Fireplace and Chimney Installation Portland","Portland"
"Fitness Equipment Assembly","Fitness Equipment Assembly Portland","Portland"
"Floor Cleaning","Floor Cleaning Portland","Portland"
"Floor Installation or Replacement","Floor Installation or Replacement Portland","Portland"
"Floor Painting or Coating","Floor Painting or Coating Portland","Portland"
"Floor Polishing","Floor Polishing Portland","Portland"
"Floor Repair","Floor Repair Portland","Portland"
"Foundation Repair","Foundation Repair Portland","Portland"
"Framing Carpentry","Framing Carpentry Portland","Portland"
"Full Service Lawn Care","Full Service Lawn Care Portland","Portland"
"Furniture Assembly","Furniture Assembly Portland","Portland"
"Furniture Delivery","Furniture Delivery Portland","Portland"
"Furniture Moving and Heavy Lifting","Furniture Moving and Heavy Lifting Portland","Portland"
"Furniture Refinishing","Furniture Refinishing Portland","Portland"
"Furniture Repair","Furniture Repair Portland","Portland"
"Furniture Upholstery","Furniture Upholstery Portland","Portland"
"Garage Addition or Remodel","Garage Addition or Remodel Portland","Portland"
"Garage Door Installation or Replacement","Garage Door Installation or Replacement Portland","Portland"
"Garage Door Repair","Garage Door Repair Portland","Portland"
"Garage, Basement or Attic Cleaning","Garage, Basement or Attic Cleaning Portland","Portland"
"Garbage Disposal Installation","Garbage Disposal Installation Portland","Portland"
"Garbage Disposal Repair","Garbage Disposal Repair Portland","Portland"
"Gardening","Gardening Portland","Portland"
"Gas Line Installation","Gas Line Installation Portland","Portland"
"Gazebo Installation and Construction","Gazebo Installation and Construction Portland","Portland"
"General Carpentry","General Carpentry Portland","Portland"
"General Contracting","General Contracting Portland","Portland"
"Generator Installation","Generator Installation Portland","Portland"
"Generator Repair","Generator Repair Portland","Portland"
"Gutter Cleaning and Maintenance","Gutter Cleaning and Maintenance Portland","Portland"
"Gutter Installation or Replacement","Gutter Installation or Replacement Portland","Portland"
"Gutter Repair","Gutter Repair Portland","Portland"
"Handyman","Handyman Portland","Portland"
"Hardwood Floor Refinishing","Hardwood Floor Refinishing Portland","Portland"
"Heating System Installation or Replacement","Heating System Installation or Replacement Portland","Portland"
"Heating System Repair or Maintenance","Heating System Repair or Maintenance Portland","Portland"
"Holiday Lighting Installation and Removal","Holiday Lighting Installation and Removal Portland","Portland"
"Home Inspection","Home Inspection Portland","Portland"
"Home Modification for Accessibility","Home Modification for Accessibility Portland","Portland"
"Home Organizing","Home Organizing Portland","Portland"
"Home Remodeling","Home Remodeling Portland","Portland"
"Home Security System Repair","Home Security System Repair Portland","Portland"
"Home Security and Alarms Install","Home Security and Alarms Install Portland","Portland"
"Home Staging","Home Staging Portland","Portland"
"Home Theater System Installation or Replacement","Home Theater System Installation or Replacement Portland","Portland"
"Home Theater System Repair or Service","Home Theater System Repair or Service Portland","Portland"
"Home Waterproofing","Home Waterproofing Portland","Portland"
"Hot Tub Moving","Hot Tub Moving Portland","Portland"
"Hot Tub and Spa Cleaning and Maintenance","Hot Tub and Spa Cleaning and Maintenance Portland","Portland"
"Hot Tub and Spa Installation","Hot Tub and Spa Installation Portland","Portland"
"Hot Tub and Spa Repair","Hot Tub and Spa Repair Portland","Portland"
"House Cleaning","House Cleaning Portland","Portland"
"House Sitting","House Sitting Portland","Portland"
"In-Ground Swimming Pool Construction","In-Ground Swimming Pool Construction Portland","Portland"
"Insulation Installation or Upgrade","Insulation Installation or Upgrade Portland","Portland"
"Interior Design","Interior Design Portland","Portland"
"Interior Painting","Interior Painting Portland","Portland"
"Junk Removal","Junk Removal Portland","Portland"
"Kitchen Remodel","Kitchen Remodel Portland","Portland"
"Land Clearing","Land Clearing Portland","Portland"
"Land Leveling and Grading","Land Leveling and Grading Portland","Portland"
"Land Surveying","Land Surveying Portland","Portland"
"Lawn Mower Repair","Lawn Mower Repair Portland","Portland"
"Lawn Mowing and Trimming","Lawn Mowing and Trimming Portland","Portland"
"Lighting Installation","Lighting Installation Portland","Portland"
"Local Moving (under 50 miles)","Local Moving (under 50 miles) Portland","Portland"
"Lock Installation and Repair","Lock Installation and Repair Portland","Portland"
"Long Distance Moving","Long Distance Moving Portland","Portland"
"Masonry Construction Services","Masonry Construction Services Portland","Portland"
"Metalwork","Metalwork Portland","Portland"
"Mold Inspection and Removal","Mold Inspection and Removal Portland","Portland"
"Mulching","Mulching Portland","Portland"
"Muralist","Muralist Portland","Portland"
"New Home Construction","New Home Construction Portland","Portland"
"Odor Removal","Odor Removal Portland","Portland"
"Office Moving","Office Moving Portland","Portland"
"Outdoor Landscaping and Design","Outdoor Landscaping and Design Portland","Portland"
"Outdoor Mosquito Control Services","Outdoor Mosquito Control Services Portland","Portland"
"Outdoor Pesticide Application","Outdoor Pesticide Application Portland","Portland"
"Packing and Unpacking","Packing and Unpacking Portland","Portland"
"Paint Removal","Paint Removal Portland","Portland"
"Patio Cover and Awning Services","Patio Cover and Awning Services Portland","Portland"
"Patio Remodel or Addition","Patio Remodel or Addition Portland","Portland"
"Pest Control Services","Pest Control Services Portland","Portland"
"Pest Inspection","Pest Inspection Portland","Portland"
"Piano Moving","Piano Moving Portland","Portland"
"Picture Hanging and Art Installation","Picture Hanging and Art Installation Portland","Portland"
"Plastering","Plastering Portland","Portland"
"Play Equipment Construction and Assembly","Play Equipment Construction and Assembly Portland","Portland"
"Plumbing Drain Repair","Plumbing Drain Repair Portland","Portland"
"Plumbing Inspection","Plumbing Inspection Portland","Portland"
"Plumbing Pipe Installation or Replacement","Plumbing Pipe Installation or Replacement Portland","Portland"
"Plumbing Pipe Repair","Plumbing Pipe Repair Portland","Portland"
"Pool Table Moving","Pool Table Moving Portland","Portland"
"Pool Table Repair Services","Pool Table Repair Services Portland","Portland"
"Popcorn Texture Removal","Popcorn Texture Removal Portland","Portland"
"Powder Coating","Powder Coating Portland","Portland"
"Pressure Washing","Pressure Washing Portland","Portland"
"Property Management","Property Management Portland","Portland"
"Radon Mitigation","Radon Mitigation Portland","Portland"
"Railing Installation or Remodel","Railing Installation or Remodel Portland","Portland"
"Real Estate Agent Services","Real Estate Agent Services Portland","Portland"
"Real Estate Appraisal","Real Estate Appraisal Portland","Portland"
"Rodent and Animal Removal","Rodent and Animal Removal Portland","Portland"
"Roof Cleaning","Roof Cleaning Portland","Portland"
"Roof Inspection","Roof Inspection Portland","Portland"
"Roof Installation or Replacement","Roof Installation or Replacement Portland","Portland"
"Roof Repair or Maintenance","Roof Repair or Maintenance Portland","Portland"
"Room Remodel","Room Remodel Portland","Portland"
"Rug Cleaning","Rug Cleaning Portland","Portland"
"Satellite Dish Services","Satellite Dish Services Portland","Portland"
"Screen Installation or Replacement","Screen Installation or Replacement Portland","Portland"
"Septic System Installation or Replacement","Septic System Installation or Replacement Portland","Portland"
"Septic System Repair, Maintenance or Inspection","Septic System Repair, Maintenance or Inspection Portland","Portland"
"Shower and Bathtub Installation or Replacement","Shower and Bathtub Installation or Replacement Portland","Portland"
"Shower and Bathtub Repair","Shower and Bathtub Repair Portland","Portland"
"Shrub Trimming and Removal","Shrub Trimming and Removal Portland","Portland"
"Siding Installation","Siding Installation Portland","Portland"
"Siding Removal","Siding Removal Portland","Portland"
"Siding Repair","Siding Repair Portland","Portland"
"Sink or Faucet Installation or Replacement","Sink or Faucet Installation or Replacement Portland","Portland"
"Sink or Faucet Repair","Sink or Faucet Repair Portland","Portland"
"Smart Home Installation or Repair","Smart Home Installation or Repair Portland","Portland"
"Snow Plowing","Snow Plowing Portland","Portland"
"Sod Installation","Sod Installation Portland","Portland"
"Solar Panel Cleaning","Solar Panel Cleaning Portland","Portland"
"Solar Panel Installation and Repair","Solar Panel Installation and Repair Portland","Portland"
"Sound Proofing","Sound Proofing Portland","Portland"
"Sprinkler and Irrigation System Installation","Sprinkler and Irrigation System Installation Portland","Portland"
"Sprinkler and Irrigation System Repair and Maintenance","Sprinkler and Irrigation System Repair and Maintenance Portland","Portland"
"Stair Installation, Remodel, or Repair","Stair Installation, Remodel, or Repair Portland","Portland"
"Structural Engineering Services","Structural Engineering Services Portland","Portland"
"Stucco Application","Stucco Application Portland","Portland"
"Stucco Repair","Stucco Repair Portland","Portland"
"Sump Pump Installation or Replacement","Sump Pump Installation or Replacement Portland","Portland"
"Swimming Pool Cleaning, Maintenance, and Inspection","Swimming Pool Cleaning, Maintenance, and Inspection Portland","Portland"
"Swimming Pool Inspection","Swimming Pool Inspection Portland","Portland"
"Swimming Pool Removal","Swimming Pool Removal Portland","Portland"
"Swimming Pool Repair","Swimming Pool Repair Portland","Portland"
"Switch and Outlet Installation","Switch and Outlet Installation Portland","Portland"
"Switch and Outlet Repair","Switch and Outlet Repair Portland","Portland"
"TV Mounting","TV Mounting Portland","Portland"
"TV Repair Services","TV Repair Services Portland","Portland"
"Termite Control Services","Termite Control Services Portland","Portland"
"Termite Inspection","Termite Inspection Portland","Portland"
"Thermostat Installation or Repair","Thermostat Installation or Repair Portland","Portland"
"Tile Installation and Replacement","Tile Installation and Replacement Portland","Portland"
"Tile Repair","Tile Repair Portland","Portland"
"Tile and Grout Cleaning","Tile and Grout Cleaning Portland","Portland"
"Toilet Installation or Replacement","Toilet Installation or Replacement Portland","Portland"
"Toilet Repair","Toilet Repair Portland","Portland"
"Tree Planting","Tree Planting Portland","Portland"
"Tree Stump Grinding and Removal","Tree Stump Grinding and Removal Portland","Portland"
"Tree Trimming and Removal","Tree Trimming and Removal Portland","Portland"
"Trim or Molding Installation","Trim or Molding Installation Portland","Portland"
"Upholstery and Furniture Cleaning","Upholstery and Furniture Cleaning Portland","Portland"
"Wallpaper Installation or Repair","Wallpaper Installation or Repair Portland","Portland"
"Wallpaper Removal","Wallpaper Removal Portland","Portland"
"Water Damage Cleanup and Restoration","Water Damage Cleanup and Restoration Portland","Portland"
"Water Feature Installation","Water Feature Installation Portland","Portland"
"Water Feature Repair and Maintenance","Water Feature Repair and Maintenance Portland","Portland"
"Water Heater Installation or Replacement","Water Heater Installation or Replacement Portland","Portland"
"Water Heater Repair or Maintenance","Water Heater Repair or Maintenance Portland","Portland"
"Water Treatment Repair or Maintenance","Water Treatment Repair or Maintenance Portland","Portland"
"Water Treatment System Installation or Replacement","Water Treatment System Installation or Replacement Portland","Portland"
"Weatherization","Weatherization Portland","Portland"
"Weeding","Weeding Portland","Portland"
"Well System Work","Well System Work Portland","Portland"
"Window Cleaning","Window Cleaning Portland","Portland"
"Window Installation","Window Installation Portland","Portland"
"Window Repair","Window Repair Portland","Portland"
"Window Tinting","Window Tinting Portland","Portland"
"Window Treatment Installation or Repair","Window Treatment Installation or Repair Portland","Portland"
"Window, Wall, or Portable AC Repair or Maintenance","Window, Wall, or Portable AC Repair or Maintenance Portland","Portland"
"Wiring Installation","Wiring Installation Portland","Portland"
